City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity %,Cloudiness %,Wind Speed
59,Aracataca,CO,2022-02-07 23:28:01,10.5918,-74.1898,broken clouds,83.98,58,52,5.12
60,Hays,US,2022-02-07 23:28:01,30.0502,-98.0336,clear sky,59.81,41,0,4.0
61,Kodiak,US,2022-02-07 23:28:02,57.79,-152.4072,light snow,35.11,87,100,13.8
62,Mar Del Plata,AR,2022-02-07 23:25:07,-38.0023,-57.5575,scattered clouds,66.09,78,40,8.99
63,Saint-Philippe,RE,2022-02-07 23:28:02,-21.3585,55.7679,overcast clouds,74.79,86,100,11.97
64,Rio Verde De Mato Grosso,BR,2022-02-07 23:28:03,-18.9181,-54.8442,broken clouds,74.8,81,72,4.0
65,Mizdah,LY,2022-02-07 23:28:04,31.4451,12.9801,overcast clouds,52.68,72,100,6.17
66,Airai,TL,2022-02-07 23:28:04,-8.9266,125.4092,overcast clouds,64.8,84,86,0.72
67,Phuthaditjhaba,ZA,2022-02-07 23:23:33,-28.5242,28.8158,overcast clouds,57.97,98,94,2.53
68,Okha,RU,2022-02-07 23:28:05,53.5739,142.9478,light snow,13.64,94,100,15.77
69,Vilhena,BR,2022-02-07 23:28:05,-12.7406,-60.1458,thunderstorm with light rain,75.42,83,75,14.97
70,Hilo,US,2022-02-07 23:23:38,19.7297,-155.09,few clouds,74.25,91,13,1.99
71,Hammond,US,2022-02-07 23:28:06,41.5834,-87.5,clear sky,25.25,69,0,6.91
72,Puerto Ayora,EC,2022-02-07 23:28:06,-0.7393,-90.3518,clear sky,75.94,68,3,7.94
73,Sioux Lookout,CA,2022-02-07 23:28:07,50.1001,-91.917,overcast clouds,14.07,73,100,8.05
74,Saint-Augustin,CA,2022-02-07 23:28:07,51.226,-58.6502,overcast clouds,9.0,97,100,1.16
75,Victoria,HK,2022-02-07 23:26:41,22.2855,114.1577,broken clouds,63.32,85,82,5.01
76,Clyde River,CA,2022-02-07 23:23:25,70.4692,-68.5914,few clouds,-39.77,60,20,4.61
77,Osa,RU,2022-02-07 23:28:09,57.2829,55.4567,overcast clouds,6.71,97,100,3.44
78,Castro,BR,2022-02-07 23:28:09,-24.7911,-50.0119,clear sky,66.16,60,0,1.81
79,Hovd,MN,2022-02-07 23:28:10,48.0056,91.6419,clear sky,-13.13,67,3,3.09
80,Yotoco,CO,2022-02-07 23:28:10,3.8605,-76.3836,overcast clouds,77.14,93,97,2.17
81,Qaanaaq,GL,2022-02-07 23:28:11,77.484,-69.3632,overcast clouds,-3.8,58,100,6.64
82,Barrow,US,2022-02-07 23:28:11,71.2906,-156.7887,haze,-25.58,68,0,9.22
83,Yabrud,SY,2022-02-07 23:28:12,33.9674,36.6574,overcast clouds,31.66,81,91,5.23
84,Korla,CN,2022-02-07 23:28:12,41.7597,86.1469,overcast clouds,22.57,50,92,3.27
85,Vaini,TO,2022-02-07 23:28:13,-21.2,-175.2,light rain,77.16,100,100,9.22
86,Itoman,JP,2022-02-07 23:28:13,26.1247,127.6694,broken clouds,68.4,92,75,25.32
87,Fortuna,US,2022-02-07 23:28:14,40.5982,-124.1573,clear sky,67.42,78,0,5.75
