City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Souillac,MU,2022-02-06 20:26:19,-20.5167,57.5167,79.36,83,75,6.91
68,Hilo,US,2022-02-06 20:26:19,19.7297,-155.09,75.25,92,100,6.91
69,Zhigansk,RU,2022-02-06 20:26:20,66.7697,123.3711,-26.68,99,95,6.38
70,Pincher Creek,CA,2022-02-06 20:25:17,49.4833,-113.952,50.36,39,0,20.71
71,Vanimo,PG,2022-02-06 20:26:21,-2.6741,141.3028,77.72,87,100,3.53
72,Bedesa,ET,2022-02-06 20:26:21,8.9,40.7833,62.26,69,4,6.33
73,Torbay,CA,2022-02-06 20:23:10,47.6666,-52.7314,15.58,78,75,14.97
74,Tarko-Sale,RU,2022-02-06 20:26:22,64.9225,77.785,-24.39,100,70,5.14
75,Pevek,RU,2022-02-06 20:25:59,69.7008,170.3133,-24.29,99,27,0.78
76,Srednekolymsk,RU,2022-02-06 20:21:55,67.45,153.6833,-36.96,100,65,1.45
77,Malakal,SS,2022-02-06 20:26:24,9.5334,31.6605,76.46,14,68,10.38
78,Rapid Valley,US,2022-02-06 20:26:24,44.0625,-103.1463,46.44,33,40,3.0
79,Bambous Virieux,MU,2022-02-06 20:22:55,-20.3428,57.7575,79.21,83,75,6.91
80,Rongcheng,CN,2022-02-06 20:26:25,30.634,117.8517,34.86,99,100,4.45
81,Vaini,TO,2022-02-06 20:22:08,-21.2,-175.2,77.16,94,100,9.22
82,Provideniya,RU,2022-02-06 20:26:26,64.3833,-173.3,-6.21,85,2,3.33
83,Oistins,BB,2022-02-06 20:24:54,13.0667,-59.5333,80.69,69,40,17.27
84,Airai,TL,2022-02-06 20:26:27,-8.9266,125.4092,60.55,89,86,1.52
85,Hurghada,EG,2022-02-06 20:24:28,27.2574,33.8129,57.24,30,0,8.05
86,Nikolskoye,RU,2022-02-06 20:26:27,59.7035,30.7861,36.88,94,100,12.01
87,Komsomolskiy,UZ,2022-02-06 20:26:09,40.4272,71.7189,39.92,81,75,6.91
88,Nuuk,GL,2022-02-06 20:26:29,64.1835,-51.7216,5.61,66,75,20.71
89,Zhezkazgan,KZ,2022-02-06 20:26:29,47.8043,67.7144,27.61,96,100,13.09
90,Nanortalik,GL,2022-02-06 20:21:36,60.1432,-45.2371,15.66,67,100,20.38
91,Busselton,AU,2022-02-06 20:27:30,-33.65,115.3333,53.1,53,47,17.13
92,Hermanus,ZA,2022-02-06 20:25:37,-34.4187,19.2345,67.8,92,9,7.09
93,Pacific Grove,US,2022-02-06 20:27:31,36.6177,-121.9166,70.3,43,0,4.0
94,Faanui,PF,2022-02-06 20:23:21,-16.4833,-151.75,81.28,74,100,22.37
95,Constitucion,CL,2022-02-06 20:27:32,-35.3333,-72.4167,71.06,57,10,10.69
96,Ngunguru,NZ,2022-02-06 20:27:32,-35.6167,174.5,74.16,98,100,5.61
97,Barrow,US,2022-02-06 20:25:01,71.2906,-156.7887,-25.58,68,0,12.66
98,Dingle,PH,2022-02-06 20:27:33,10.9995,122.6711,73.09,90,80,8.12
99,Aberdeen,GB,2022-02-06 20:27:33,57.1437,-2.0981,39.2,69,75,18.41
100,Hay River,CA,2022-02-06 20:27:34,60.8156,-115.7999,22.98,86,100,13.8
101,Karratha,AU,2022-02-06 20:27:34,-20.7377,116.8463,83.57,80,4,4.88
102,Kununurra,AU,2022-02-06 20:27:35,-15.7667,128.7333,75.18,100,75,1.14
103,Wieliczka,PL,2022-02-06 20:27:35,49.9874,20.0647,44.94,62,100,11.99
104,Kavieng,PG,2022-02-06 20:27:36,-2.5744,150.7967,81.05,78,77,3.15
105,Mahibadhoo,MV,2022-02-06 20:27:36,3.7833,72.9667,81.57,64,15,10.25
106,Tuatapere,NZ,2022-02-06 20:27:36,-46.1333,167.6833,47.88,72,3,2.84
107,Tiksi,RU,2022-02-06 20:27:37,71.6872,128.8694,-15.3,99,100,4.25
108,Itarema,BR,2022-02-06 20:27:37,-2.9248,-39.9167,82.74,70,93,12.88
109,Domoni,KM,2022-02-06 20:27:38,-12.2569,44.5319,80.28,82,88,4.09
110,Port Lincoln,AU,2022-02-06 20:27:39,-34.7333,135.8667,72.18,58,0,14.54
111,Codrington,AU,2022-02-06 20:27:39,-38.2667,141.9667,56.34,80,0,8.7
112,Clyde River,CA,2022-02-06 20:27:39,70.4692,-68.5914,-30.77,75,75,8.05
113,Qaanaaq,GL,2022-02-06 20:23:31,77.484,-69.3632,-12.8,59,28,7.85
114,Korla,CN,2022-02-06 20:27:40,41.7597,86.1469,23.36,47,5,3.94
115,Batagay,RU,2022-02-06 20:27:41,67.6333,134.6333,-29.81,95,100,1.97
116,Hasaki,JP,2022-02-06 20:27:41,35.7333,140.8333,27.0,43,1,21.45
117,Kenai,US,2022-02-06 20:27:42,60.5544,-151.2583,22.08,92,0,0.0
118,Hambantota,LK,2022-02-06 20:27:42,6.1241,81.1185,74.79,74,95,9.64
119,Mount Gambier,AU,2022-02-06 20:27:42,-37.8333,140.7667,58.91,72,0,5.75
120,Kahului,US,2022-02-06 20:25:26,20.8947,-156.47,79.86,68,0,16.11
121,Cockburn Town,TC,2022-02-06 20:27:43,21.4612,-71.1419,78.76,47,20,9.22
122,Norman Wells,CA,2022-02-06 20:24:32,65.282,-126.8329,-12.96,64,75,18.41
123,Dudinka,RU,2022-02-06 20:27:44,69.4058,86.1778,-33.81,100,17,4.27
124,Porto Murtinho,BR,2022-02-06 20:27:44,-21.6989,-57.8825,94.53,30,43,8.59
125,Afua,BR,2022-02-06 20:27:45,-0.1567,-50.3867,75.81,94,100,6.06
126,Yong Peng,MY,2022-02-06 20:27:45,2.0136,103.0659,73.42,96,100,2.37
127,Sibolga,ID,2022-02-06 20:27:46,1.7427,98.7792,74.77,90,100,3.74
128,Shache,CN,2022-02-06 20:25:03,38.4167,77.2406,27.05,56,97,4.63
129,Burnie,AU,2022-02-06 20:27:39,-41.0667,145.9167,55.08,88,15,9.46
130,Iqaluit,CA,2022-02-06 20:27:46,63.7506,-68.5145,-34.31,65,20,4.0
131,Lebu,CL,2022-02-06 20:27:47,-37.6167,-73.65,65.86,67,0,13.18
132,Marzuq,YE,2022-02-06 20:27:47,14.4,46.4667,65.3,32,100,3.85
133,San Jeronimo,PE,2022-02-06 20:27:48,-11.9472,-75.2829,51.67,83,100,7.14
134,Muravlenko,RU,2022-02-06 20:27:48,63.7898,74.523,-19.62,100,91,5.91
135,Necochea,AR,2022-02-06 20:26:02,-38.5473,-58.7368,63.03,69,86,18.37
136,Moba,CN,2022-02-06 20:27:49,33.2288,105.0179,22.71,91,100,2.62
137,Menongue,AO,2022-02-06 20:27:49,-14.6585,17.691,59.72,87,100,4.09
138,Hithadhoo,MV,2022-02-06 20:24:40,-0.6,73.0833,82.27,72,33,12.66
139,Murmashi,RU,2022-02-06 20:28:50,68.8154,32.8115,14.41,92,40,11.01
140,Cap Malheureux,MU,2022-02-06 20:28:51,-19.9842,57.6142,79.47,81,79,3.0
141,Katsuura,JP,2022-02-06 20:28:51,35.1333,140.3,35.71,49,67,10.83
142,Salalah,OM,2022-02-06 20:28:52,17.0151,54.0924,75.06,38,94,12.97
143,Namatanai,PG,2022-02-06 20:28:52,-3.6667,152.4333,79.23,80,44,3.74
144,Asau,RO,2022-02-06 20:28:53,46.4333,26.4,38.95,55,100,6.13
145,Havelock,US,2022-02-06 20:28:53,34.8791,-76.9013,53.06,69,75,3.0
146,Port Macquarie,AU,2022-02-06 20:28:54,-31.4333,152.9167,65.89,94,40,10.36
147,Kruisfontein,ZA,2022-02-06 20:28:54,-34.0033,24.7314,74.88,57,100,10.94
148,Tilichiki,RU,2022-02-06 20:24:29,60.4667,166.1,-13.54,84,9,10.16
