City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
301,Acapulco,MX,82.22,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
302,Namatanai,PG,84.43,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
303,Coahuayana,MX,87.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
306,Bairiki,KI,82.22,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
309,Hervey Bay,AU,81.03,few clouds,-25.2986,152.8535,Shelly Bay Resort
310,Panacan,PH,80.1,overcast clouds,9.2463,118.4082,Mom's Place Resort
321,Tautira,PF,87.82,light rain,-17.7333,-149.15,Pension Oaoa
327,Kishi,NG,77.79,few clouds,9.0833,3.85,New NCCF KISI
332,Merauke,ID,82.85,overcast clouds,-8.4667,140.3333,
334,Lakatoro,VU,80.31,heavy intensity rain,-16.0999,167.4164,Lakatoro Palm Lodge
336,Faanui,PF,81.63,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
337,Mount Gambier,AU,78.71,clear sky,-37.8333,140.7667,The Commodore
338,Thinadhoo,MV,82.06,overcast clouds,0.5333,72.9333,
339,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
343,Limbang,MY,79.11,overcast clouds,4.75,115.0,Purnama Hotel
349,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
354,Popondetta,PG,83.62,overcast clouds,-8.7537,148.2534,Timos Transit House
355,Prachuap Khiri Khan,TH,77.68,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
356,Boyolangu,ID,77.4,overcast clouds,-8.1181,111.8935,Yos ega cv
357,Norsup,VU,80.33,very heavy rain,-16.0667,167.3833,Nabelchel Bungalows
358,Pandan Niog,PH,81.14,broken clouds,6.2282,120.5631,
362,San Rafael,AR,79.16,clear sky,-34.6177,-68.3301,Hotel San Rafael
363,Mount Isa,AU,78.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
364,Formosa,AR,80.58,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
367,Iracoubo,GF,77.09,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
373,Alugan,PH,79.12,overcast clouds,12.2188,125.4808,JM Lodge
374,Sibolga,ID,75.76,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
375,Sao Joao Da Barra,BR,77.14,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
376,Catamarca,AR,75.04,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
378,Domoni,KM,79.83,moderate rain,-12.2569,44.5319,Al Djadid
379,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
380,Mabini,PH,77.86,overcast clouds,15.6,120.9833,4 Angel's Resort
388,Manuk Mangkaw,PH,80.38,overcast clouds,4.8,119.85,
389,Sembakung,ID,76.93,overcast clouds,3.8167,117.25,
399,Atambua,ID,79.47,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
401,Harper,LR,78.76,overcast clouds,4.375,-7.7169,Screensaver
403,Kota Bahru,MY,75.15,scattered clouds,6.1333,102.2386,Grand Riverview Hotel
410,Kavieng,PG,84.76,broken clouds,-2.5744,150.7967,Nusa Island Retreat
414,Buin,CL,88.02,clear sky,-33.7333,-70.75,Paihuen
418,Inhambane,MZ,76.26,light rain,-23.865,35.3833,Oceano
419,Rivadavia,AR,84.67,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
426,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Fengshui Residence
427,Nisia Floresta,BR,82.78,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
428,Bonthe,SL,78.24,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
431,The Valley,AI,77.09,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
436,Manali,IN,78.08,scattered clouds,13.1667,80.2667,Sarathy Lodge
439,Nhulunbuy,AU,81.21,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
442,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
449,Lampa,CL,79.63,clear sky,-33.2833,-70.9,El sueño de Lampa I y II
450,Kattivakkam,IN,78.08,broken clouds,13.2167,80.3167,Euronova Freezer
453,Rio Muerto,MX,82.92,clear sky,27.4167,-110.2333,
459,Poum,NC,81.21,overcast clouds,-20.2333,164.0167,
476,Roebourne,AU,79.3,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
479,Beloha,MG,80.02,overcast clouds,-25.1667,45.05,
485,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
487,Sambava,MG,76.14,overcast clouds,-14.2667,50.1667,Melrose
493,Port Hedland,AU,75.25,thunderstorm with rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
501,Naifaru,MV,80.56,broken clouds,5.4444,73.3657,Naifaru Residence Guest House
503,Pandan,PH,78.73,overcast clouds,14.0453,124.1694,Bonifacio Lodge
505,Meulaboh,ID,76.28,overcast clouds,4.1363,96.1285,Kost Pria
506,Ca Mau,VN,76.32,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
512,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
515,Prado,BR,77.52,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
516,Santa Rosa,PH,80.85,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
518,San Policarpo,PH,79.54,overcast clouds,12.1791,125.5072,Agapita M. Nicart
